#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000028180	0.697440178	0.328300293	-0.093285925	0.075306001	-0.057598842	0.08091084
ENSMUSG00000002010	0.455590245	-0.118550059	-0.209605356	-0.328016399	-0.347875183	-0.310972994
ENSMUSG00000002017	0.402604715	-0.065136069	-0.040513288	-0.115516334	-0.20509919	-0.089692022
ENSMUSG00000002015	0.815077504	-0.166537878	-0.088051593	-0.342914894	-0.270335759	-0.270034842
ENSMUSG00000002014	0.455590245	-0.118550059	-0.209605356	-0.328016399	-0.347875183	-0.310972994
ENSMUSG00000028189	0.208935181	-0.30633804	0.078783526	-0.177122589	-0.067113647	-0.116485883
ENSMUSG00000028188	1.234330943	0.467334508	0.825965249	0.17181677	0.433858711	0.357576584
ENSMUSG00000027173	1.04825459	0.068738981	0.163290256	-0.358353699	-0.169082111	-0.201317225
ENSMUSG00000053218	0.386537208	0.165168359	0.394363377	0.066829223	0.149348729	0.162298251
ENSMUSG00000083012	0.997247464	0.023358139	0.440368281	-0.013299894	0.172957322	0.167259082
ENSMUSG00000046020	0.886899205	0.098870552	0.373789369	-0.202089471	-0.128223739	-0.052723228
ENSMUSG00000046753	0.141833379	-0.194576674	-0.167287387	-0.231678179	-0.459681208	-0.328545352
ENSMUSG00000037339	0.979844643	0.120376373	0.286113924	-0.03670505	0.026263811	0.074659286
ENSMUSG00000046027	0.516272287	0.423889967	0.458821338	0.334982362	0.435095125	0.485182852
ENSMUSG00000046756	0.830355114	0.427692222	0.559766218	-0.097414988	0.379580483	0.108483534
ENSMUSG00000043505	-0.3112738255	-0.3909354275	-0.42855605775	-0.5202637835	-0.661625002	-0.704446195
ENSMUSG00000028187	0.101552543	-0.166272563	0.05205747	-0.276800777	-0.161639382	-0.221425806
ENSMUSG00000035139	0.667178571	0.05646717	0.28977712	-0.13484461	0.01350417	-0.02749139
ENSMUSG00000070074	0.738455269	-0.244573303	0.127359164	-0.298431299	-0.000844446	-0.161930837
ENSMUSG00000020755	0.233073249	-0.10652392	-0.113561114	-0.066532924	-0.076363691	-0.010128664
ENSMUSG00000020752	0.233073249	-0.10652392	-0.113561114	-0.066532924	-0.076363691	-0.010128664
ENSMUSG00000075553	0.646861274	0.026462263	0.122839169	-0.27541475	-0.206312856	-0.194319413
ENSMUSG00000032212	1.23403369	0.087672287	0.412004756	-0.352210411	0.069332651	-0.17480492
ENSMUSG00000069830	0.489476304	0.229745719	0.109304047	-0.219069074	-0.364674563	-0.294535493
ENSMUSG00000025521	0.732874512	0.170905028	0.214677626	0.002743731	0.145958435	0.122467548
ENSMUSG00000033863	0.221451903	-0.15416062	-0.061098341	-0.24838098	-0.06580289	-0.199235501
ENSMUSG00000028233	0.582248692	-0.071452113	0.099927452	-0.183790144	-0.197623324	-0.182792
ENSMUSG00000028232	0.582248692	-0.071452113	0.099927452	-0.183790144	-0.197623324	-0.182792
ENSMUSG00000028234	0.818369091	0.208559421	0.336049889	-0.030984835	0.017011958	0.068247097
ENSMUSG00000031878	0.896041176	0.252536812	0.508864814	0.013955592	0.372106854	0.193064638
ENSMUSG00000044533	0.611365246	0.079296911	-0.138264405	-0.162159638	-0.182600525	-0.133432647
ENSMUSG00000067833	0.472982446	-0.289874632	0.154354967	-0.158270608	-0.034132756	-0.113691943
ENSMUSG00000068129	0.399209035	0.248818046	0.016109513	-0.38587131	-0.063391185	-0.28090245
ENSMUSG00000019916	0.813156688	-0.007838845	0.104635479	-0.322283561	-0.19936593	-0.219083338
ENSMUSG00000019917	1.0347254	0.262550718	0.482013039	-0.060819451	0.350601618	0.188202375
ENSMUSG00000087026	0.41661159	-0.192450154	-0.400644433	-0.626506589	-0.404728865	-0.607626236
ENSMUSG00000078607	0.664346359	0.198074111	0.563035525	-0.079116639	0.030911719	0.08701493
ENSMUSG00000004947	0.262170702	0.129199073	0.195648843	0.263379951	0.130863204	0.340855388
ENSMUSG00000004945	1.094932184	0.10991001	0.110704562	-0.386018184	-0.303095884	-0.328713696
ENSMUSG00000027405	0.483179562875	-0.088732262125	-0.0208733398125	-0.3939677725	-0.167114758375	-0.267048935687
ENSMUSG00000027404	0.365177658	0.34224104	0.011470855	0.003259499	0.24105119	0.063378481
ENSMUSG00000020366	0.642322596	0.092993375	0.241893977	-0.047332769	0.060343996	0.086951609
ENSMUSG00000020361	0.231333633	-0.267126694	-0.148412477	-0.384101488	-0.156074065	-0.325576349
ENSMUSG00000038607	0.66697218	-0.20710333	0.468726256	-0.14317732	0.426821573	0.084912158
ENSMUSG00000020362	0.654643406	-0.106740891	0.088419224	-0.426896355	-0.143940368	-0.330143688
ENSMUSG00000064120	0.195317594	-0.219690158	0.250021873	-0.026584219	0.078818484	0.053407691
ENSMUSG00000064127	0.816740575	0.123613044	0.305885551	-0.205691707	0.069432174	-0.005471649
ENSMUSG00000020368	0.363610719	0.082114437	-0.118634916	-0.190540637	-0.228353291	-0.198765312
ENSMUSG00000018209	0.620492206	-0.267543344	-0.174587491	-0.299917896	-0.302793284	-0.284007933
ENSMUSG00000054074	0.402673127	-0.189372819	-0.345815257	-0.210447	0.163867526	-0.009366677
ENSMUSG00000042055	0.217615778	-0.022022304	0.365085273	-0.196866014	-0.225676479	-0.18008378
ENSMUSG00000032551	0.536368017	0.060078618	0.440366171	-0.094382137	0.070181464	0.015463695
ENSMUSG00000010392	0.090080215	-0.035827682	0.025550505	0.184523285	-0.038710646	0.180155243
ENSMUSG00000054079	0.842404691	0.015997028	0.356171025	-0.207404987	0.063586626	-0.0514724
ENSMUSG00000087575	0.546275313	0.05582368	-0.079885608	-0.399963077	-0.11443729	-0.4158401
ENSMUSG00000087574	1.41627587	0.138009611	0.475138404	-0.134536325	-0.052874382	0.158360148
ENSMUSG00000048285	0.882343049	-0.1355997	0.370002715	-0.218768916	0.082779805	-0.061611833
ENSMUSG00000030921	0.81164293	0.509814033	0.492562524	0.041644076	0.263330406	0.143699563
ENSMUSG00000048280	0.043150368	-0.098841371	0.060493445	-0.263774845	0.010823935	-0.159013423
ENSMUSG00000058569	0.225975989	0.133094212	0.171484216	-0.06663977	0.062468176	0.002581727
ENSMUSG00000036768	0.536368017	0.060078618	0.440366171	-0.094382137	0.070181464	0.015463695
ENSMUSG00000036769	0.359889302	0.104040741	-0.008262232	-0.289496341	-0.18957263	-0.218217479
ENSMUSG00000079036	-0.185218211	-0.274765725	-0.39179946	-0.382110189	-0.33183072	-0.378094554
ENSMUSG00000021583	0.069555103	-0.251693806	-0.14046887	-0.785582201	-0.416252694	-0.724768448
ENSMUSG00000073867	0.365531851	-0.230240098	-0.321548357	-0.403771593	-0.323256608	-0.357128564
ENSMUSG00000074384	0.188401272	0.282308109	-0.103290383	0.20203584	-0.085693975	0.132447496
ENSMUSG00000021585	0.311979469	0.076464756	-0.086721292	-0.216951428	-0.121268215	-0.180002298
ENSMUSG00000086993	0.256298111	-0.283869928	-0.040681253	-0.485337373	-0.231247269	-0.394274086
ENSMUSG00000001098	0.53047409	0.071817689	0.295831273	0.000424931	0.046201587	0.059347526
ENSMUSG00000037143	-0.0726884651818	0.0669337115455	0.166178826955	0.0269022346818	0.0467733901364	0.0748095794545
ENSMUSG00000037149	0.330359473	-0.441079331	-0.189096253	-0.330663171	-0.34347375	-0.387265563
ENSMUSG00000037148	0.624880775	0.217376749	-0.009372603	-0.30956278	-0.113404215	-0.226815595
ENSMUSG00000084845	0.34750157	-0.410873566	-0.289483135	-0.544885176	-0.125646127	-0.502436019
ENSMUSG00000001891	0.422565655	-0.010781651	0.139737992	-0.272427001	-0.084963422	-0.192027474
ENSMUSG00000097309	0.060584244	-0.036232145	0.008910783	0.04078538	-0.140588568	-0.0016346
ENSMUSG00000033688	0.665813641	-0.095835165	0.04387075	-0.309029046	-0.019656802	-0.194492636
ENSMUSG00000020982	-0.282570219	-0.190795148	0.090287273	0.166904119	0.018485226	0.165824016
ENSMUSG00000020986	0.748015476	0.257362336	0.201646211	0.047659299	0.103113212	0.077414198
ENSMUSG00000020988	0.809548295	0.130877381	0.170130609	-0.190983255	0.053614775	-0.073884492
ENSMUSG00000039652	0.17187331987	0.309938669391	0.225937549826	0.207077830435	0.223609201435	0.299618263565
ENSMUSG00000033684	0.359466843	-0.03397066	0.471511651	-0.250836625	-0.008492194	-0.140309179
ENSMUSG00000033685	0.682847099	-0.264496785	-0.172942443	-0.469576309	-0.244073539	-0.392384473
ENSMUSG00000079737	0.00953319	0.115108089	0.272890282	0.184502991	0.034074074	0.184220976
ENSMUSG00000055210	0.537338488	-0.033092649	-0.183534458	-0.02991879	0.046954907	-0.019603443
ENSMUSG00000075555	0.115227195	-0.234636115	-0.176506017	-0.104848156	-0.121324804	-0.167522604
ENSMUSG00000024539	1.13391433	0.337349204	0.530632901	-0.07822833	0.311654729	0.140439383
ENSMUSG00000097308	0.366684877	-0.071232003	0.063328762	-0.012140622	-0.003426368	0.036805423
ENSMUSG00000026208	-0.124765783	0.279421504	-0.289503062	0.134592938	-0.134967312	-0.040949775
ENSMUSG00000026209	0.402351182	-0.151909203	0.016954453	-0.249785378	-0.131295623	-0.135209938
ENSMUSG00000086191	0.904980604	-0.166262327	0.505231079	-0.156776065	0.009128151	-0.015076697
ENSMUSG00000079033	0.099843683	-0.130450302	0.070624352	-0.11373784	0.103511927	0.015216185
ENSMUSG00000026200	0.407057482	-0.027255215	0.020866046	-0.080932648	0.026670814	-0.02043486
ENSMUSG00000071713	-0.07689966	-0.337815788	-0.185774951	-0.451562707	-0.549579052	-0.521424814
ENSMUSG00000026202	0.181035161	-0.067013988	-0.400730172	-0.489009708	-0.314617821	-0.572364029
ENSMUSG00000026203	0.379143838	-0.05206337625	0.2619320425	-0.30749478225	-0.027182778	-0.17175475825
ENSMUSG00000030884	0.248944387	-0.122895225	0.019717008	-0.03224746	0.072370108	-0.001898664
ENSMUSG00000026754	0.577408597	0.271723148	0.269299998	0.047643478	0.105056087	0.131347284
ENSMUSG00000071715	0.345087774	-0.523454994	-0.552487968	-0.754318088	-0.53692539	-0.765293794
ENSMUSG00000054920	0.429599228	0.01029802	0.381775623	-0.146446873	-0.140066712	-0.12843195
ENSMUSG00000030084	1.422927614	1.004318966	1.282648461	0.009979654	0.5847156	0.409851659
ENSMUSG00000097174	1.148890699	0.149109702	0.384870144	-0.169553071	0.110463443	0.044180695
ENSMUSG00000030086	0.273240646	0.216616791	0.126440203	-0.018961148	-0.075806164	0.017956264
ENSMUSG00000059743	0.13859699	-0.271360761	-0.253230283	-0.200214353	-0.037112261	-0.099665312
ENSMUSG00000059981	0.318610385	-0.232540708	-0.384461193	-0.484670469	-0.39883401	-0.501650604
ENSMUSG00000059213	0.232069015	0.049358814	0.277651263	0.038006806	0.18373449	0.002375293
ENSMUSG00000097179	0.485747523	-0.047198147	0.210695663	0.013743173	0.121755892	0.138279176
ENSMUSG00000049488	0.721439669	-0.009617319	-0.014372792	-0.232860681	-0.12917001	-0.142434923
ENSMUSG00000056749	0.738161264	0.82300247	0.346175815	0.675558535	0.618216875	0.738806524
ENSMUSG00000073409	-0.225133301	-0.410532314	-0.382686559	-0.561271404	-0.292456822	-0.531880156
ENSMUSG00000073407	0.481099741	0.005821915	0.053113686	0.102594713	0.091585951	0.153032018
ENSMUSG00000041831	-0.367764951	0.553334402	-0.176197235	0.719479215	-0.34626781	0.586885949
ENSMUSG00000031938	0.741647046	0.140430198	0.50312055	-0.143519582	0.042101817	-0.014471986
ENSMUSG00000041341	0.720553201	0.024610724	0.08784832	-0.323044167	-0.096285763	-0.192098788
ENSMUSG00000041346	0.935051364	-0.315213448	-0.125403908	-0.453286944	-0.160972865	-0.353862687
ENSMUSG00000041837	0.212412455	0.136718538	-0.252221192	-0.22030576	-0.176397847	-0.183594463
ENSMUSG00000031422	-0.141035671862	-0.220915797759	-0.262939333448	-0.302572606138	-0.278269698759	-0.31444701569
ENSMUSG00000000326	0.0722860896667	0.350549464667	0.242753137333	0.0444441653333	0.117797460667	0.118496221333
ENSMUSG00000000325	0.761312789	0.212941182	0.659580668	0.166237009	0.162658295	0.279979127
ENSMUSG00000031935	0.363249991	0.019831107	-0.026080658	0.075750394	0.076730259	0.102794362
ENSMUSG00000038650	0.428405492	0.033576729	0.211065437	-0.102924066	-0.001792193	-0.05278919
ENSMUSG00000023186	0.027079505	0.0821011824	-0.1837691548	-0.1361215782	0.0045400318	-0.107601717
ENSMUSG00000038658	0.565052087	0.145845561	0.543149181	0.311077425	0.231931014	0.30456154
ENSMUSG00000003824	1.130540393	0.418968996	0.428012869	-0.083722118	0.291151916	0.078317667
ENSMUSG00000003531	0.229011312	-0.0510616847143	0.0696807197143	-0.273207677	-0.0422917131429	-0.218748874857
ENSMUSG00000031883	0.896041176	0.252536812	0.508864814	0.013955592	0.372106854	0.193064638
ENSMUSG00000062078	1.211627347	0.554346434	0.759030857	0.423211884	0.712330291	0.870276354
ENSMUSG00000085085	1.075565606	0.452994893	0.535699529	0.193397212	0.238650554	0.39214238
ENSMUSG00000062075	0.259276059	0.16491588	0.202091195	0.114404281	0.198800196	0.169955272
ENSMUSG00000030330	0.0887454081364	-0.184453258091	-0.127146188455	0.108502227955	-0.152486546318	0.0949303790455
