I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
mmu-let-7g-5p	-0.267890463333334	-0.242068293333333	-0.329079973333333	-0.10455747	-0.319155283333334	-0.28299824
mmu-let-7g-3p	-0.0607150526666667	0.050569916	-0.289717675333333	-0.801618435333333	-0.356884751666667	-0.913451857666666
mmu-let-7i-5p	-0.261992513333333	-0.314733816666666	-0.227260666666667	-0.445297503333333	-0.0478424799999999	0.0556290233333338
mmu-let-7i-3p	-0.608212745666667	-0.257838491	-0.474687999666666	-0.618968657	-0.43840445	-0.449593379333333
mmu-miR-15b-5p	-0.292059243333333	0.0526429300000005	0.0467089899999997	0.222179043333333	-0.422766966666667	-0.346698853333333
mmu-miR-15b-3p	-0.400402565333334	-0.668334680666667	-0.477279949	-0.497744404666667	-0.401284117666667	-0.0587162116666663
mmu-miR-23b-5p	0.207861529666667	-0.169917428	-0.273103070666667	-0.957049952	-0.791796703666667	-0.770104133333333
mmu-miR-23b-3p	0.347135878	0.527842742666667	0.228386616	0.653487501	0.242194759666668	0.590684391
mmu-miR-27b-5p	0.125110283	-0.0741482776666664	-0.103448935666667	-0.183998116333333	-0.147245185666666	-0.613687163333333
mmu-miR-27b-3p	-0.934246790666667	0.232098819666667	-0.560822625333333	-1.39005105633333	-0.0309761013333333	-0.331279392
mmu-miR-29b-1-5p	-0.391655647	0.272723217	0.379504486666667	1.16650419	-0.166586328666667	-0.613109991
mmu-miR-29b-3p	-0.193866082666667	-0.214551331	-0.448651392333333	-0.486936554	-0.481920960666667	0.130319449999999
mmu-miR-30b-5p	0.110324866666666	0.359424013333333	0.211451866666667	0.40691035	0.200971209999999	-0.0944369799999993
mmu-miR-30b-3p	0.161562888	0.177372625666667	0.22152624	-0.0424520423333335	0.0498128226666668	-0.10260359
mmu-miR-99b-5p	-0.108707893333333	0.392523476666666	0.0977419033333338	0.239151001666666	0.0977675590000005	-0.706289602666666
mmu-miR-99b-3p	0.252795121	0.0989126436666666	0.535412297	0.344825232	0.426366830333333	0.565872971666667
mmu-miR-101a-5p	-0.0985046506666665	0.0207315036666665	-0.215418267	0.0749823136666666	-0.0957737603333329	-0.577467136333333
mmu-miR-101a-3p	-0.0156158299999999	-0.161329648	-0.685132032	-0.939492177	-0.339506731666666	-0.355428655
mmu-miR-125a-5p	-0.0312646993333333	0.271881797333333	0.631620372333333	0.655181153333332	0.124150478	0.0825325233333333
mmu-miR-125a-3p	-0.37022846	0.181351362666667	0.0289989376666666	0.79044774	0.359630049666667	0.450140651333333
mmu-miR-126a-3p	1.570610243	1.40992323966667	1.37334292666667	1.589203971	0.964547572666667	0.67238408
mmu-miR-127-3p	-2.607712697	-2.546933744	-2.376216643	-2.39228580033333	-1.54558659266667	-1.99552455166667
mmu-miR-128-1-5p	-0.0404542403333335	-0.146630465666667	-0.185064800666667	-0.55363168	-0.334940475333333	-1.15808453933333
mmu-miR-128-3p	0.129029414666666	0.136721208	0.0861591809999999	0.463810018333334	0.770189213333333	1.017491184
mmu-miR-9-5p	-0.249088113333334	-0.0228291733333332	0.0193073333333332	-0.298330963333334	-0.127498636666666	0.0847073000000004
mmu-miR-9-3p	-0.133926269333333	0.107015265333333	-0.197592918333333	0.138650015333333	0.111550539666667	0.456471193666667
mmu-miR-132-5p	-0.232047548333333	-0.267187835333333	-0.864505520333333	-0.0225201696666666	0.0137777123333334	-0.568343013666667
mmu-miR-132-3p	-0.451916066	-0.299150150666667	-0.134314288	-0.194394948333333	-0.163001111333333	0.0652485266666665
mmu-miR-138-5p	0.000203978000000049	0.430407502	0.480050907666667	0.563734704666667	0.287413844	-0.436314729
