gen	0_Ik	2_Ik	6_Ik	12_Ik	18_Ik	24_Ik
ENSMUSG00000036676	1.110551341	1.01407406	1.021333052	0.961683629	0.978345061	0.92633851
ENSMUSG00000046567	1.036168284	1.017216053	1.095900812	1.064707965	1.073171572	1.076834076
ENSMUSG00000019894	1.018764772	1.453648531	1.576653089	1.507100593	1.134623443	1.214980884
ENSMUSG00000036019	1.002436545	0.876660869	0.94280068	0.770864294	0.757719408	0.668996247
ENSMUSG00000019832	1.03594998	1.231377691	1.0573274	1.112651437	0.953821173	0.999248244
ENSMUSG00000019897	1.132918144	1.063076044	1.054142467	1.027293806	1.036752979	1.015817635
ENSMUSG00000019906	1.158754817	0.748610609	1.82794894	0.874174517	1.13221175	0.760893292
ENSMUSG00000019828	1.169815943	0.807819877	1.025533889	1.126723669	1.034915297	1.209660526
ENSMUSG00000019828	0.882713582	1.028965079	1.446650754	1.187454528	1.278771153	1.193742751
ENSMUSG00000000435	1.408885307	0.953979177	1.052247373	0.949935022	0.85213666	0.946769442
ENSMUSG00000035916	0.84709223	1.316375042	0.817566691	0.993693418	0.973231735	1.007092415
ENSMUSG00000091455	0.764143608	1.566460606	0.779900628	0.990554292	1.167340237	0.960211755
ENSMUSG00000091455	0.733179516	0.966767921	1.292087555	0.915426358	1.284895331	0.973614364
ENSMUSG00000091455	0.788139677	1.400787577	0.9566454	1.178995597	0.96551695	0.971991276
ENSMUSG00000091455	0.804679579	1.287937524	0.916752516	1.405738405	1.268478518	1.492289406
ENSMUSG00000091455	1.166851892	1.205127269	0.84463493	1.384093864	0.920821642	1.317039588
ENSMUSG00000019907	1.095256593	1.015244458	1.052152709	1.018718205	1.01476204	1.007739304
ENSMUSG00000035873	0.637342925	1.271935803	0.997601035	0.837483425	1.345715217	0.858213179
ENSMUSG00000035864	1.046033243	2.192151361	1.90869292	1.594358897	1.645991355	1.598825448
ENSMUSG00000020181	0.301919511	1.130452084	1.029677324	1.886862646	1.618522534	2.059649214
ENSMUSG00000020181	0.870564962	1.117812621	1.006241643	1.214930133	1.07762822	1.328366885
ENSMUSG00000020185	1.156087355	1.024050622	1.099757157	1.038978801	1.034632601	1.015009464
ENSMUSG00000089461	0.999240279	0.944002955	1.181202893	1.063453583	1.039759253	1.063815574
ENSMUSG00000020186	1.033119263	1.029832067	1.066728047	1.018923757	1.020560082	0.991987671
ENSMUSG00000035798	1.037575284	1.041569098	1.034668477	0.999113874	0.987895643	0.970474289
ENSMUSG00000020189	1.051711192	1.023726632	1.031274717	1.023867689	1.012361059	1.018624614
ENSMUSG00000035759	1.021182482	0.974948002	0.957861027	0.971817044	1.002356704	0.981630316
ENSMUSG00000058799	1.131650089	0.977470986	1.026809148	1.025314092	0.997677292	1.000602708
ENSMUSG00000090112	1.052262499	0.995505482	1.003563657	0.999174078	1.030096516	1.008275959
ENSMUSG00000020205	1.099877051	1.016384752	1.0548879	0.991624062	0.944366402	0.929537079
ENSMUSG00000063334	1.044471542	0.993111448	0.987911419	1.036775166	1.033084142	1.05855068
ENSMUSG00000056888	0.962911568	1.066123726	1.04551944	1.057654609	1.036676225	1.047687388
ENSMUSG00000020213	0.870686791	1.024777328	1.044102582	1.073501256	0.818039536	0.916394296
ENSMUSG00000035694	0.886459261	1.223610626	1.025519715	0.974195776	1.21577834	1.014157605
ENSMUSG00000097007	1.078036459	1.012509344	1.017744628	1.039179612	0.983362079	1.019129813
ENSMUSG00000074748	1.127680942	1.038235898	1.141691072	1.069284997	1.089376168	1.082347929
ENSMUSG00000050663	1.069903735	1.118014438	0.970495179	1.118930957	1.236787072	1.235449684
ENSMUSG00000050663	0.788935468	0.618140121	0.987779621	0.740749312	1.174692482	0.965004848
ENSMUSG00000006764	0.906478878	0.95894612	0.902886094	0.860518476	1.168585228	1.060688243
ENSMUSG00000006764	0.854102306	0.888831746	1.427602596	0.908145476	1.098859863	0.877010344
ENSMUSG00000006764	1.00655138	0.993059178	1.007297631	1.033164784	0.940555048	0.972242641
ENSMUSG00000020130	1.035162366	1.003685435	0.981145687	0.991314936	1.020050556	0.996843764
ENSMUSG00000020132	1.020295136	1.032696406	1.0293337	1.008678041	1.006599064	0.999711146
ENSMUSG00000069520	1.069980232	0.97896951	1.032612276	1.007214393	1.024349649	1.02255715
ENSMUSG00000020137	1.027973026	0.994706198	1.014356751	0.999125841	1.028321034	1.016149431
ENSMUSG00000020140	0.960987928	1.971799314	0.816953907	1.215051738	1.006461088	1.05645541
ENSMUSG00000020140	1.27190373	1.143443381	1.390348362	1.036513394	0.985075811	0.878071075
ENSMUSG00000020151	0.781506288	1.448096929	1.042023127	1.119981953	1.166585893	1.080800377
ENSMUSG00000020154	0.809641532	0.955136905	1.278965946	0.948410596	0.993679001	0.802148748
ENSMUSG00000020154	0.782758117	1.094888947	0.831560171	1.170728843	0.888130712	1.076616768
ENSMUSG00000020154	0.724389169	1.209020224	0.783727495	1.055315034	1.309111251	1.234928427
ENSMUSG00000020154	1.100201999	0.97618633	0.812502122	1.036738297	1.213531265	1.292773172
ENSMUSG00000020154	0.976974181	0.904495893	1.165954673	1.058984274	1.089385883	1.109235552
ENSMUSG00000054934	0.985576924	0.861628499	1.014543461	0.948907655	0.837861728	0.808575892
ENSMUSG00000085837	0.989578794	1.016206798	1.021189149	0.972347996	0.93852353	0.900470091
ENSMUSG00000020166	1.013621091	1.04633283	1.006365877	1.089734418	1.03415104	1.074920292
ENSMUSG00000052291	1.043113244	1.018633169	1.001259006	1.017810444	0.997711129	1.013317269
ENSMUSG00000097104	0.670149806	0.728417036	0.906128651	1.110726395	0.616491877	1.040839651
ENSMUSG00000097104	1.030294657	1.023630066	0.962181469	0.960116483	0.954465609	0.911968122
ENSMUSG00000034057	0.943081538	0.966853805	0.867409684	0.971143237	1.169752175	1.06860112
ENSMUSG00000034057	0.98212971	1.146916881	1.134474641	0.968756355	0.884069568	0.827454355
ENSMUSG00000064181	0.790446373	1.328689252	1.381212078	1.110402556	1.205313309	1.093183459
ENSMUSG00000064181	1.169721095	1.102365025	1.13000052	1.056202775	1.060106102	1.020428413
ENSMUSG00000034024	1.024395864	1.051735487	1.020670654	1.010071973	1.030530635	1.005945932
ENSMUSG00000020170	1.057765566	1.044714912	1.024856568	1.024842731	1.048540732	1.038939241
ENSMUSG00000020171	1.041933733	1.036620413	1.030438299	0.994939459	1.036013427	1.004024497
ENSMUSG00000069516	1.009673765	1.084870828	1.121741479	1.238252748	1.147003535	1.249768126
ENSMUSG00000055531	0.805646852	1.219763876	1.156140199	0.955463581	0.850601129	0.774816626
ENSMUSG00000055531	0.927472849	1.045224359	0.991383805	1.032783928	0.970128178	0.98056294
ENSMUSG00000055531	1.057592753	1.062091101	1.024990412	1.022657962	1.010295679	1.010790179
ENSMUSG00000055531	0.966670181	1.081147605	0.849173811	0.889247529	0.745187039	0.773740535
ENSMUSG00000020183	1.081154193	0.988103599	1.101066457	1.028966517	1.025434586	1.01409231
ENSMUSG00000020183	0.970143272	1.010736151	1.00408824	1.016860442	0.992304248	1.014386419
ENSMUSG00000020184	1.054505031	1.065318869	1.023198426	1.017455587	1.01537242	0.997317817
ENSMUSG00000060181	1.353865916	1.125167632	1.189833263	1.131222267	1.131017782	1.115410801
ENSMUSG00000052798	1.002650775	1.007969304	0.984121026	0.999855498	0.99646145	0.987359126
ENSMUSG00000052681	1.078519027	1.048388677	1.040016155	1.038478377	1.053045608	1.035191286
ENSMUSG00000020212	1.005157715	0.995053549	1.016306215	1.01457015	1.024168903	1.019574709
ENSMUSG00000020212	0.874259193	1.010094901	1.144611842	0.881412172	1.155002392	0.930609642
ENSMUSG00000020114	1.008282984	1.010771066	1.004812121	1.001954809	1.041131059	1.023091112
ENSMUSG00000034813	1.131508041	0.710911478	1.075586993	0.990756662	0.922232951	1.044944062
ENSMUSG00000034813	1.035187988	0.889245393	1.320517113	0.994968069	1.119304384	1.025764142
ENSMUSG00000020228	1.032410488	0.969681935	0.990644168	1.001020818	1.006977127	1.012615919
ENSMUSG00000020227	0.957008415	1.036498834	0.991474028	1.045850201	0.956818074	1.000984927
ENSMUSG00000020225	1.036616797	1.132985432	1.022015217	1.065894767	0.98814391	0.992713281
ENSMUSG00000020224	0.997040122	1.102004856	1.034734967	1.046730273	1.063337367	1.034393215
ENSMUSG00000048661	1.082365512	1.067972986	1.024233161	1.044370708	0.992554048	0.994605861
ENSMUSG00000020218	0.977241819	1.086075592	0.952824004	0.976824069	0.893193463	0.856843678
ENSMUSG00000020218	0.980271226	1.473485843	0.828879984	1.186044354	0.923586378	1.047773113
