compound	IKvsCtr_0h	IKvsCtr_2h	IKvsCtr_6h	IKvsCtr_12h	IKvsCtr_18h	IKvsCtr_24h
Pyruvic.acid	0.1457967909	0.113978653566667	-0.0555343216	-0.0810347242	-0.0282871251333333	-0.0677696371
Succinic.acid	0.138705852633333	0.153344126766667	-0.0601142639666667	-0.3139451874	-0.325763330833333	-0.346838096266667
Glyceric.acid	0.193193336033333	0.0914723373333333	-0.0181908719666667	0.0683666013	0.0286353192666667	-0.0921802769333333
Fumaric.acid	0.0579115957333333	0.0376779895333333	-0.0292220565333333	-0.213227550466667	-0.3144532132	-0.2995835421
Malic.acid	0.123586222566667	0.0842599738333333	-0.0385867554333333	-0.456466549166667	-0.622432156966667	-0.788085455066667
Cysteine	0.0538529831666667	0.0122820848333333	-0.00942937056666667	-0.00768207583333333	-0.00926623553333333	-0.0358009306
Alpha.ketoglutaric.acid	0.211159331666667	0.0788310500333333	-0.0397799287	-0.245394143466667	-0.478234929933333	-0.594506229033333
Phosphoethanolamine	0.168467713733333	0.00121379536666665	-0.0465677321666667	-0.244864842466667	-0.1355093285	0.0472403609333333
Glyceric.acid.3.phosphate	-0.0302422639333333	0.017566821	-0.0800889352	-0.0797965413666667	-0.0790136259333333	-0.133002197733333
Citric.acid	0.221038629833333	0.0566358708666667	0.0270926142	-0.1452769305	-0.239337550566667	-0.3357263972
Glucose	0.0837006844	0.0623381302	-0.0366568781	-0.0471891251333333	0.00178764689999999	-0.0539700182333333
Mannitol	0.140363146866667	0.0727265838333333	-0.0808042116666667	-0.0879646993333333	-0.0179272419666667	-0.110884410966667
Myo.inositol	0.151408319866667	0.0569809319333333	-0.0509231827	-0.0895631268666667	-0.0335483391	-0.1112870991
Glucose.6.phosphate	-0.0118296258	0.0309668793	-0.0330153194	-0.109575949366667	-0.0912750423333333	0.0219115608333333
Adenosine	-0.252671684133333	0.109610047133333	0.0523815780666667	-0.091933902	-0.0494215108	0.142417359866667
Lactic.acid	0.065708179	0.0718967320333333	-0.0208379456666667	-0.0787461630666667	-0.0647273785666667	-0.275846458433333
Thymine	-0.132088022333333	-0.104803314633333	-0.121746739333333	-0.2424812205	-0.00840628523333332	-0.219749167333333
Cytosine	-0.391741901133333	-0.3583803591	0.0216882476	-0.0216806094666667	0.2402995932	0.482906490633333
Ribose.5.phosphate	0.217071198066667	-0.363792452533333	-0.218042143266667	-0.204918786333333	-0.2548185546	-0.304904816033333
Fructose	0.148144413333333	0.0595689018666667	-0.0520227033	-0.0373347919	-0.027130992	-0.303325906233333
Guanine	0.0609847719666667	-0.0129930909	0.0204845429666667	-0.0473174191333334	0.103240444666667	0.0697614105333333
Cholesterol	0.0659441316333333	-0.00935244553333333	-0.0148466706333333	-0.3427451536	-0.247838824533333	-0.318813120666667
Alanine	0.1685880431	0.1010975642	0.0138792155333333	-0.2461270908	-0.146295817566667	-0.1951953718
Valine	0.153906489166667	0.0757625694666667	-0.0493952873333333	-0.1204125028	-0.0285890062	-0.108958371533333
