Gene	I/C_0h	I/C_12h	I/C_18h	I/C_24h	I/C_2h	I/C_6h
ENSMUSG00000000001	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000000028	0.22137668	-0.055182635	-1.101062264	-1.730774626	0.212964062	-0.008261878
ENSMUSG00000000056	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000000078	-0.12347839	-0.666278234	-1.938896241	-2.088102448	-0.721530448	-1.689470105
ENSMUSG00000000088	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000000093	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000000131	-0.136354506	-1.114090468	-2.074662979	-2.014996851	-0.50457517	-0.592871519
ENSMUSG00000000134	-0.646700262	0.607843629	2.000933841	1.991420547	-1.087775823	0.457735496
ENSMUSG00000000148	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000000149	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000000159	-0.136354506	-1.114090468	-2.074662979	-2.014996851	-0.50457517	-0.592871519
ENSMUSG00000000167	1.867729592	1.903324475	2.584278723	3.50439436	1.727617986	1.556607935
ENSMUSG00000000168	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000000171	-0.12347839	-0.666278234	-1.938896241	-2.088102448	-0.721530448	-1.689470105
ENSMUSG00000000184	-0.191635154	0.400892511	-0.64455408	-1.339880364	-0.084543089	-0.155512109
ENSMUSG00000000194	-0.223508992	0.283311456	-0.331679068	-1.877501317	0.514520678	0.14901162
ENSMUSG00000000223	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000000244	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000000247	-0.136354506	-1.114090468	-2.074662979	-2.014996851	-0.50457517	-0.592871519
ENSMUSG00000000275	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000000276	1.529470068	2.169401353	2.549166379	3.464452818	1.797928033	1.710856394
ENSMUSG00000000278	0.08842305	-0.400854587	-0.787935747	-1.0975919	0.179013893	0.352343133
ENSMUSG00000000282	-0.280829537	0.266171822	0.472396744	1.302988048	-0.763220786	-0.491873325
ENSMUSG00000000290	-0.646700262	0.607843629	2.000933841	1.991420547	-1.087775823	0.457735496
ENSMUSG00000000295	-0.646700262	0.607843629	2.000933841	1.991420547	-1.087775823	0.457735496
ENSMUSG00000000301	-0.125671436	1.604375893	0.352075059	0.841003723	0.318098715	0.284063204
ENSMUSG00000000325	-0.223508992	0.283311456	-0.331679068	-1.877501317	0.514520678	0.14901162
ENSMUSG00000000339	0.243643446	0.766410014	1.031902571	0.995317693	-0.236157684	-0.661821817
ENSMUSG00000000340	0.22137668	-0.055182635	-1.101062264	-1.730774626	0.212964062	-0.008261878
ENSMUSG00000000346	0.22137668	-0.055182635	-1.101062264	-1.730774626	0.212964062	-0.008261878
ENSMUSG00000000355	0.343886641	-0.817880942	-0.848365513	-1.130110241	0.034394689	-0.735953213
ENSMUSG00000000374	1.529470068	2.169401353	2.549166379	3.464452818	1.797928033	1.710856394
ENSMUSG00000000378	-0.50046328	0.089825228	0.735396272	1.267300698	-0.339902715	-0.462781925
ENSMUSG00000000399	-0.310947913	-0.030634383	0.375213827	1.345914221	0.125657011	-0.560333627
ENSMUSG00000000439	1.697294619	2.2330336	3.298952111	3.483463117	2.262754255	2.338131127
ENSMUSG00000000486	-0.209346457	-0.2085351	-0.924798729	-1.490404078	-0.255127399	-0.26895127
ENSMUSG00000000531	-0.365629517	-1.572132713	-2.506255227	-3.294623602	-0.595488873	-0.99902736
ENSMUSG00000000532	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000000538	-0.12347839	-0.666278234	-1.938896241	-2.088102448	-0.721530448	-1.689470105
ENSMUSG00000000552	-0.22181809	-1.460420991	-2.37563474	-2.058820106	-0.478789129	-0.958787069
ENSMUSG00000000555	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000000561	1.618230822	1.20861923	0.946861965	-0.004889363	2.292638783	1.156766171
ENSMUSG00000000562	-0.12347839	-0.666278234	-1.938896241	-2.088102448	-0.721530448	-1.689470105
ENSMUSG00000000563	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000000568	-0.989669744	-0.076212742	-0.371697356	-1.606081066	-0.532060272	-0.149652516
ENSMUSG00000000579	-0.50046328	0.089825228	0.735396272	1.267300698	-0.339902715	-0.462781925
ENSMUSG00000000581	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000000594	0.2924947	1.071363836	-0.656639402	-2.781153656	1.288356782	1.790630763
ENSMUSG00000000600	-0.310947913	-0.030634383	0.375213827	1.345914221	0.125657011	-0.560333627
ENSMUSG00000000605	-0.646700262	0.607843629	2.000933841	1.991420547	-1.087775823	0.457735496
ENSMUSG00000000628	1.867729592	1.903324475	2.584278723	3.50439436	1.727617986	1.556607935
ENSMUSG00000000631	-1.016244344	-0.069572462	-1.743082966	-1.3087625	-0.645110239	-0.917932704
ENSMUSG00000000673	-0.365629517	-1.572132713	-2.506255227	-3.294623602	-0.595488873	-0.99902736
ENSMUSG00000000682	0.12161013	0.585712013	1.09334258	1.6174017	-0.019629163	0.418470707
