Protein	Ratio_0	Ratio_2	Ratio_6	Ratio_12	Ratio_18	Ratio_24
Ythdf3	2.31417623478707	0.955922574304004	-0.331842730308244	0.0525405797932107	1.17841298025396	-0.205743897792884
Pdhx	1.1735767350643	-0.0185076013531876	1.71334749119438	0.10078224409832	1.32553490876759	-1.1552601071541
Xpo7	0.210090145493226	0.918014163283515	-0.159858415911685	-1.01353771400742	0.725263810419359	1.84404140692485
Brd4	-0.283420650559053	0.145428959635806	-0.710092407292088	0.699181636825028	0.475132693707022	1.17770778527178
Hccs	-0.933887379776391	-1.0783980779541	0.389752628354325	-2.11784518652226	-1.59477788525508	0.438124048378763
Adssl1	2.4761500007979	2.05143702392254	-0.277020113840232	-1.94067551015667	1.27257324999635	1.83619948032411
Pex14	-0.0578258924486894	0.122177376374663	-1.09950907750629	-0.840002231683621	0.576448043796125	0.724083607763461
Sun2	2.42142039588092	0.992808560463311	-1.70378839300186	-3.62629412260425	0.994472822398091	0.70105230987408
Mrps2	1.39946889037236	0.516959300388165	0.330340967468413	0.654083294585027	2.0185889540213	0.261854994344537
Nup50	-1.33131118390459	1.879775226347	-0.843799248885465	-2.89552990032333	-2.74916548605599	-1.3048261425761
Dhx29	1.34972943586842	-0.395334695287387	-0.598773360765193	-5.01035849332468	2.38744202447779	-1.34753550812775
Psmd9	0.669703223877254	1.01930802166133	-0.853938017964977	0.183801431073072	2.49761796988818	0.217261311596245
Mrps26	-0.0544662409267106	0.14037422811208	0.404417989426558	-0.177955990284837	0.207396554882646	-0.478942158408097
Scd2	-1.42924753053501	2.41317419598946	0.351082163040572	-4.19073526363446	-1.85954138722757	0.332838428367346
Scd1	-1.42924753053501	2.41317419598946	0.351082163040572	-4.19073526363446	-1.85954138722757	0.332838428367346
Huwe1	1.6221020488369	0.342499418490083	0.559564623417292	1.003841677421	0.769506625760793	-1.10180503568391
Aldh4a1	-0.227278314337084	-0.383739956543503	-0.988434847685377	-2.87585867808289	0.144913486253117	-1.06560029889696
Rbm22	0.101790824303722	0.617312588984157	0.241029433654676	-1.17338251009393	1.15928597422372	-1.83866415657545
Wasf2	0.64629344495539	-0.713483796960874	-0.461539652002073	-2.16826017830128	-1.67046658397588	0.701114020576527
Dnmt3a	0.707640797622886	-0.641165295964379	-0.769920224454295	-2.79864409843495	1.2474760870556	-0.971481159900019
Sgta	0.00313742412303419	-0.687189341107151	-1.75299706956031	-1.78399102833866	2.40412693067843	-0.0350355405026872
Cwc15	0.473282248212612	2.15184401410233	0.638102270268651	-0.303130849121716	1.30472816816264	2.47908606884013
Sgpl1	-0.480403193582565	0.615835037217869	-2.19115554212435	0.769866594005139	2.53087405427734	0.188470719007084
Mrps27	0.697767074168127	0.590467646241151	0.613116326767497	-0.60315919317124	1.84139688948772	0.349618780263979
Hirip3	2.56811721974247	1.99779434241478	-0.0941068098835499	-2.77243050352907	0.336274195169304	-0.957859758521124
Ero1l	-0.260178263251293	1.77079340528351	-0.808954324204796	0.39519326062756	0.105046378422061	-0.306126477220013
Lef1	-1.55839027372464	1.04201374335409	-0.217067256514552	-2.49825833790316	-1.82737721026852	0.149320310233088
Surf6	1.34695169370243	-0.376869413575341	-0.428245752536149	-3.07204343770317	1.134302385423	0.332330294114952
Acp1	0.193712805536628	1.32419452799106	-0.706191034426091	1.78766819527038	-0.756923122836378	-0.901955990160072
Rfc1	-1.54180510082986	-0.206669803657637	-0.281422258894461	-1.71203684710945	-0.927919497136583	1.99861467576838
Ktn1	0.0368086183792252	2.86281740634534	-0.364929500836457	-4.15971971633364	2.32196559641071	0.639097674696965
Akr7a2	-0.0670157751450281	-0.839881669387978	-0.100882346301532	-1.63965019968612	2.1783663447305	0.482923905236382
Fmr1	0.451583050096855	0.584160956309789	-0.839225996193071	-2.13269929862386	0.845859145487725	-0.164817401196461
Nkx3-2	0.228127476354103	-1.0706562332287	1.37532004814531	-3.11453317945003	0.996954821267032	-0.691217868932518
Wdr46	2.29311935315787	0.641153878609235	0.407231717729527	-2.41124150815404	2.30435072546246	-2.23753372845262
Bud31	-0.487406174866964	0.144400387043703	0.198801192979551	-2.09664304645508	0.423932774949233	0.269785723312423
Yif1b	-1.2611836390207	-1.31568645908271	1.49459267323818	-0.0170851095639719	-1.70543545096678	-2.21768165403422
Cr1l	-2.81262682794562	1.03575111434518	-0.243334231462419	0.578973966149926	-1.40921966945315	1.76467434034885
Rae1	0.142889829147269	0.0821048452229363	0.777519040929722	-1.021126654276	-0.202952364014878	-0.93201227998631
Bag6	-1.60184550805991	0.240599370008959	-0.595314653652417	1.27182397093088	0.164421109922392	0.922668046044107
Slirp	0.37068460549155	0.582558974886432	-1.11996520962717	1.09501003917677	1.98579147208944	-0.613297258981711
