Gene	Ik_0H	Ik_2H	Ik_6H	Ik_12H	Ik_18H	Ik_24H
ENSMUSG00000000001	0.00128435140257415	-0.00826675380770511	0.0550520144397974	0.0113494501133439	0.052514257586302	0.0423360545503191
ENSMUSG00000000003	-0.401392979684068	-0.508133268014101	-0.480884617901716	0.0566370496086061	-0.169565548571841	-0.539416363575239
ENSMUSG00000000028	-0.0234898452236099	-0.00602590917412002	0.0027762826221644	0.0197874868509162	-0.0148708272819052	-0.114922671241737
ENSMUSG00000000031	-0.139083050559017	0.0344391886293763	0.0972477808613967	-0.493532299351182	-0.58359944126993	-0.796943885357652
ENSMUSG00000000037	-0.777881012258102	-0.556924900758144	-0.683094708412877	0.0561682141524468	-0.603591527301303	-0.996686611953386
ENSMUSG00000000049	-0.929774092749458	-0.751418458884276	-0.856018097580308	0.119318346774251	-0.732649581866042	-0.468801022327913
ENSMUSG00000000056	0.0154318080356271	0.0546255477384814	0.0729778411569816	0.14177694737393	0.171208878375549	0.144815923077881
ENSMUSG00000000058	-0.698188471097667	-0.394213988957066	-0.447269977001733	0.0345752060107568	0.0460426039658078	-0.516546864451089
ENSMUSG00000000078	0.0251762363794693	0.0501333626295368	0.112128086293668	0.229103287860859	0.259895860408782	0.292754527729662
ENSMUSG00000000085	-0.000302780366160017	0.0347598242377679	0.00486971773745993	0.0599044353724027	0.0314221602636152	0.043934525343511
ENSMUSG00000000088	-0.0176454871932523	-0.0494094190274497	-0.0821589613292807	-0.0053319499840183	-0.0877109173349361	-0.166180825538963
ENSMUSG00000000093	-0.246342916880519	-0.205303022669875	0.0419262599956621	0.157793497247974	0.315347209424666	0.377205217773279
ENSMUSG00000000094	0.943916511536891	0.498240887762049	1.8103397238601	0.951082968888126	1.00827035046593	1.57732835080502
ENSMUSG00000000103	-0.852910551179542	-0.621034342424898	-0.670165196742666	0.061316804047778	-0.59064672623956	-0.941397543116488
ENSMUSG00000000120	-0.445902913558307	-0.728141696403052	-0.341014908556507	0.362321075241798	-0.0232438931302026	-0.19540341448143
ENSMUSG00000000125	-0.462891223975432	-0.651317072485287	-0.346655935521383	0.0208150726962105	-0.351314766600149	-0.48829381663869
ENSMUSG00000000126	-0.56527273316698	-0.89703592862841	-0.369879540995933	0.367725034000861	-0.02538903378805	-0.286851965106427
ENSMUSG00000000127	-0.225442768415624	-0.662225992484078	-0.465974045539733	0.000603030319405136	-0.344381107090824	-0.549141489885493
ENSMUSG00000000131	-0.00795602904407167	-0.00926999480513045	-0.0308554661708597	-0.0236081798934116	-0.0726915034467908	-0.0776070598361426
ENSMUSG00000000134	0.0354954466729563	-0.00823637474148374	-0.0347467272306543	-0.038340402690948	0.0123311460127833	0.0299887998284464
ENSMUSG00000000142	-0.342073360570024	-0.622130385577285	-0.462170402521071	0.0506267133748227	-0.267244082545533	-0.260236391431814
ENSMUSG00000000148	0.0197341807229207	0.0330650128895062	0.115294794402772	0.0788280051115705	0.114442409810126	0.0861391091276597
ENSMUSG00000000149	0.0283263954938094	0.0619510140936372	0.108066595594103	0.0893752452614444	0.10328713333951	0.10097206101617
ENSMUSG00000000154	-0.0741155221186711	-1.04359249578413	-0.671283142539637	-0.465818670549309	-0.82902740090838	-0.463967322195609
ENSMUSG00000000157	0.0762993288928351	-0.431240347564225	-0.425226132055542	0.203635768107985	-0.315161580160068	-0.578515850914376
ENSMUSG00000000159	0.0906325945600721	0.0878744717881767	0.338898709772586	0.439013205810689	0.190887208792202	0.171695345973679
ENSMUSG00000000167	-0.0365307714054745	-0.117131384111118	-0.107553500751868	-0.324163600021074	-0.239722782926189	-0.395298781884926
ENSMUSG00000000168	-0.00614657905832492	-0.0230519529309164	-0.00202158297438518	-0.0495775527165858	-0.0488659157146338	-0.073142109510239
ENSMUSG00000000171	-0.0248124666270442	-0.00561165717682669	-0.0304288993733841	-0.00623172145926624	-0.0292912620031241	-0.0648786394807962
ENSMUSG00000000182	-0.533311029327757	-0.510265161916909	-0.222223150320514	0.138796419547706	-0.175164288555523	-0.601254833089964
ENSMUSG00000000183	-0.633057176167345	-0.485220910456819	-0.332046406211631	0.0805754212224951	-0.308261918401895	-0.550028398648303
ENSMUSG00000000184	0.0676966064423803	-0.0715640245008462	-0.190706210772287	-0.260100996451151	-0.352685527792956	-0.345031584626048
ENSMUSG00000000194	0.0281284426706547	0.0443923996144129	0.0427063260041624	0.0920434368093419	0.0620379199889471	0.114094543420182
ENSMUSG00000000197	-0.438433263909964	-0.378784362734669	-0.481211266688958	0.021942800253302	-0.272605893866138	-0.75421562012968
ENSMUSG00000000202	-0.590586502443112	-0.501264268007432	-0.296829867543911	0.10848172140133	-0.0786961246273048	-0.45102740104364
ENSMUSG00000000204	-0.492419234792118	-0.126112800539171	-0.564071255407126	0.311797119921852	0.0185734675938617	-0.0970568573381905
ENSMUSG00000000214	-0.601300453542377	-0.883234882171966	-0.359138488966179	0.219886212324471	-0.157968557500205	-0.499615213756099
ENSMUSG00000000215	-0.525434668879841	-0.5365900265163	-0.494871602876077	0.106549293478662	-0.215256620747776	-0.707373430158169
