prot	IKA0h	IKA2h	IKA6h	IKA12h	IKA18h	IKA24h
Slc12a9	0.0747039150733512	0.0916835491718015	0.042842723352077	0.0552656402275717	-0.0434031542479239	0.000419372954899425
Nol10	0.079271000878663	0.0368003419050121	0.046007573086475	0.0613805420322311	-0.00856980116877079	0.0361749606607036
Arid1a	-0.0246022257500971	-0.032439829912165	-0.0117805249172219	-0.0232302744581157	-0.0298933352285363	-0.0912569265134629
Clint1	-0.00039314120895282	-0.00541529246160885	0.110467605724464	0.186750478083127	0.426179391759158	0.381886979451341
Gfm1	0.0575587251410305	0.0531468424070838	0.0451575363703293	0.0326058892242599	-0.0114350795963982	-0.0290476110592392
Naa25	-0.124757157223586	-0.197823324162179	-0.0926237491805205	-0.0465229828691997	-0.159680887175842	-0.270657788300989
Myl4	0.028256981971532	0.144152646652071	-0.0143842284448464	0.126303343765525	0.19333304271156	0.495503826976884
Got1	-0.111783222196675	-0.0793630404948813	-0.106977234091065	-0.168097088885092	-0.235571577654632	-0.310676413968493
Atxn2l	0.0239526125265549	0.0592784236058709	0.06607918913577	-0.0466085255942039	0.0133553906300702	-0.193167408728293
Psma4	-0.119691682607859	-0.0652915855321973	-0.130640382301794	-0.0678220782039667	-0.155886396525516	-0.0544325648374991
Ezr	0.0851273154699866	0.066360696908804	0.0864839407454064	0.0760732146160032	0.0532975136721918	0.0133308580094809
Rbm3	-0.094280893287884	-0.0713648809658295	0.0280807199448374	0.126283887402901	0.0234508093956262	-0.0778359265231807
Mapk14	-0.013437515714014	-0.0607467862820422	-0.0832494627606206	-0.184301742863739	-0.283729939155544	-0.330418766782238
Psmb3	-0.0496424660419662	0.0315377657632117	-0.0158493680383258	-0.0605756200731905	-0.0185042648283732	-0.0799585340630757
Txlna	-0.0791722844145792	-0.0198952271173913	-0.0957069978770285	-0.106362324221304	-0.116955710420311	-0.0777248610599404
Tmsb4x	-0.155937197222409	0.247769720837984	-0.00610698588036818	-0.0826318928143701	-0.0450653055698526	-0.157725095083671
G3bp2	-0.0367382247017412	-0.123388573108352	-0.0221085807268911	-0.132866976952997	-0.192569203330433	-0.41964097253587
Dnajc8	-0.121543414154036	-0.130120399546247	-0.172366504541615	0.080889185775439	-0.122007482164253	0.287659054062302
Gigyf2	-0.00671467184598779	-0.01668702443371	-0.025990307867975	-0.0383074439097476	-0.0663924585397959	-0.0625981780132266
Ptma	-0.1116921540591	0.145971210494381	0.118495332896069	-0.0526280606868533	0.154070849765998	-0.251574478431846
Gpi	-0.0521429743873133	-0.0199886247944737	0.00982605970725947	0.18389864847953	-0.206835007144944	-0.212352767833214
Cd2bp2	0.00192708342027048	0.00295363580612013	0.00586014456115524	0.0265028466369504	0.0484698843514129	0.0561474264928614
Eif4h	0.0470966231106233	0.081164262566594	0.00871533423201798	-0.0167238170226008	-0.135843884760295	-0.10766081867186
Gsr	0.00650513668247871	-0.000504509859665936	-0.00392982819004739	-0.0300908265661747	-0.0280487549635538	-0.0253591319577213
Naca	-0.00281598445388687	0.016915399336341	0.107825685135507	0.218157758951963	-0.106172593291268	-0.319056309728038
Dpy30	-0.0431259249614226	-0.0895406432251743	-0.0599382742620192	-0.0654335456074509	-0.117023556582803	-0.11682411009323
Mapre2	0.0245028537105649	0.0041032707653969	0.0669988208306697	0.0535934639159556	0.11690070573662	-0.000678587224368199
Eml2	0.0107336932484955	0.0170619392689739	0.0511429741891248	0.0543250178364021	0.103342778979865	0.0471693958497295
Btf3	-0.132696587585637	-0.117088691611763	-0.0384048802026005	-0.0575876512950069	-0.115553622618051	-0.32960238449156
Ldha	0.025523538140841	0.0545148007909309	0.0449122751665816	0.0447391198770504	-0.0330622520373006	-0.0944197891308136
Isoc1	-0.0319170699592578	-0.0578707476480924	-0.0233986491989252	-0.0460926157098592	-0.0562617738645956	-0.0978050408290752
Psmb4	-0.000861865546014251	0.0716653747350797	0.100911239705153	0.0696097985897837	0.117255923239628	-0.0792916688458076
Adrbk1	-0.0741776592781181	-0.116907683733337	-0.00545752387611476	0.0241840640710299	0.123849274328326	0.0436821959473818
Adss	-0.0602124528850704	-0.121120442123273	-0.0695249253233757	-0.0495290397381943	-0.132120225599272	-0.142691856408444
Pold2	-0.0116927720710832	-0.0151269889207981	-0.0180643445024557	-0.0260307300052394	-0.0221292455310301	-0.0175016385153845
Urb1	-0.0370225372837564	-0.0357130451920686	-0.0401871970835361	-0.114532373033446	-0.116044696866229	-0.205135007388912
Wdr5	-0.00737189301117736	-0.0357570227458837	-0.0367268964168127	-0.0469910869502714	-0.0876400457825376	-0.0679826515973083
Aldoa	-0.00170914313107529	0.0745511071429977	0.0259087728849675	-0.087359269661154	-0.00146851150281879	-0.104849718239652
Zc3hc1	-0.032859635694404	-0.0140204295070731	-0.127804521190533	-0.0941476253170226	-0.205742503610678	-0.0109294527320496
Lsm6	-0.0330911938203381	-0.0113899088044275	-0.026054593890392	-0.0251639308543319	-0.0475973756351897	-0.061453612184652
Xrcc1	0.00275328586603363	-0.0228884851142164	0.0159492435381225	0.040261180501861	0.0274196921271145	0.0223993403308112
Dctn2	0.0400743455050251	0.0407087048065433	0.0762878504589476	0.0474662330996746	0.106300997381445	0.0138685028895031
Rpl39	-0.0810262723231153	-0.109925355109217	0.0314735955386564	0.0558300992614427	0.0285946878724608	-0.155270709629694
Pfdn2	0.0232992572261232	0.0361773878761109	0.0102113687575255	-0.0484364389566331	-0.0795019509026796	-0.12984272128599
Drg1	-0.00712056520822835	-0.0729782612649444	-0.0333028309762797	-0.0343070200020064	-0.11946841048313	-0.12882473299779
Hmgn5	-0.0452371207734831	0.0353778233637185	-0.0689602274467001	-0.0226975110595453	-0.0900905718018253	0.0508291661948032
Dock8	-0.00563700475022244	-0.0105619822353624	-0.00383319803090312	0.0159246574684908	0.0789418722523181	0.128696767128467
Ikzf1	0.450994613919614	0.808984914993131	-0.105358132476624	0.183182085807986	-0.377265666456877	1.02157693729018
Dcps	-0.136756160840219	-0.0246140970756507	-0.065436510063676	-0.150172097054659	-0.0163186339016128	-0.141287766746494
Ybx1	-0.0543298228915811	-0.00542453496626261	0.0345711554599859	0.0783346187040879	0.0169945560266177	-0.0775429125169539
Limd2	-0.00167005593662878	0.0401028110307229	-0.0253817144183117	0.0456513565479634	0.11244685735106	0.276641736358082
Eef1e1	-0.0259519635099592	-0.0837174213380629	-0.0909375907776664	-0.068301849328991	-0.188966727119517	-0.107051698837205
Dcun1d1	0.0125517480333113	0.0044486393069002	0.00319059446501774	0.0366673517565284	0.0227229629476369	0.0742917257562625
Fkbp3	-0.0534557796854745	-0.0112850475229689	-0.0619151326530817	-0.00474598508547719	-0.101003111108967	-0.0388480749296998
Gm20390	-0.0848932746444342	0.036792065412259	0.0208822736722183	-0.0652662697089191	0.0124330043161494	-0.198427373458449
Gsn	0.0474094631282277	0.0316969888698241	0.0143186003958936	0.094301830333497	0.056159019976175	0.202939912117904
Ap2m1	0.0274446722066632	0.0530727517270854	0.0694307923382596	0.0605119669919369	0.160427149711654	0.12280084455917
Arhgdia	0.0495493367868139	0.114350337452213	0.0652552292615542	0.145582110021789	-0.0635599350634682	-0.043622012878209
