Prot_name	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
Mob4	0.000747294292478144	-0.00209781454227126	-0.0139623363484401	-0.0102136518046874	-0.0152274763100589	-0.00799596322240732
Rps6ka3	0.03531058344722	-0.054430511568168	0.0386443356450865	-0.0609076128194238	-0.0666848242774639	-0.09325632533747
Nedd8	-0.0231376762943145	0.00310478153351922	-0.0251164859827087	-0.0193961162361619	-0.122656713211526	-0.136547109476221
Mrpl10	-0.0376147462373484	-0.0189160973941808	0.0328918074576219	0.014026079025991	0.0673064840784307	-0.0231927331884033
Eny2	0.00202893547374851	0.00413486206997786	-0.100931466176618	-0.0423374901938388	-0.0708709636569537	-0.0704987310965008
Eif2b4	0.000497423999983416	-0.0323979239329933	0.0230239529044354	-0.0150982212069308	-0.0729847898015887	-0.0411901855388474
Metap2	0.0359160972165343	-0.0445854609647003	0.00100140639295781	-0.126885766058035	-0.183120726917581	-0.157229283758887
Birc6	0.0112239272890973	-0.0165539619191571	-0.0155862323946476	-0.0147104698551889	0.0397786182261486	-0.0281947807157131
Crnkl1	-0.00292074399981011	-0.065290827942899	0.0394896749893992	0.0259278756575814	0.0724424033096635	0.0606433075173979
Armc1	0.0230587533973745	0.00698347339705447	-0.103782323372555	-0.161306056595574	-0.171130338915516	-0.0946472497312485
Smim4	-0.0243140773175839	-0.00798283593696954	-0.0690565449554905	-0.0133668144176065	-0.0104756580916877	-0.0990095904474738
Tfam	0.0441662559894191	-0.00325047670018728	0.0184000762285013	-0.0114569435519568	-0.107913203716102	-0.0416937857497297
Arpp19	0.0476101331603023	-0.0576182009207406	-0.0414442083505139	-0.0271360360912399	-0.101872775210135	-0.03508017366909
Nup43	0.05692061485516	-0.0519640652134661	-0.0401034841675957	0.0270443999267777	-0.0535170265014513	-0.0581133590234847
Nup188	0.00275232042594037	0.04118896193592	-0.0798523879657811	-0.0122573962438168	-0.0347396910891005	-0.0681335351869678
Elp3	0.0367603217162463	-0.0406316458949906	-0.0384877795191829	-0.0238520725144094	-0.0319365104868415	-0.0812623512211485
Pycard	0.00138551333683795	-0.040028018378834	-0.000513768421962312	-0.164453003642042	-0.0741624798554729	-0.0874148685751287
Map2k3	-0.0805482638846627	-0.0196077400598217	0.000630022540243208	-0.024581770270068	-0.0857033591419748	5.82219564759851e-06
Crip1	-0.0265916225239074	0.0548840529120489	-0.0335562536781028	0.149983846887054	0.110448737871076	0.0526718994212384
